"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Caribbean small states","CSS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2422736","2461668","2501290","2538192","2579291","2608636","2636272","2658852","2678745","2703373","2726010","2751724","2777769","2816346","2861919","2904465","2940179","2972655","3005989","3031901","3054814","3080854","3121919","3188114","3226313","3265339","3326848","3374275","3387807","3430570","3294823",
"Cuba","CUB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4032771","4105966","4176621","4238465","4296306","4340395","4400029","4430315","4446524","4470635","4507285","4537664","4581107","4633928","4682834","4776193","4850504","4950116","4997792","5104995","5077914","5087845","5095726","5102955","5108177","5113577","5107450","5105337","5103449","5092603","4790239",
"Curacao","CUW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342038","352150","359842","369552","381035","389724","400518","411882","420647","431943","445198","465308","475452","494580","509225","518120","531573","546788","557577","570827","585706","585576","589090","593733","604638","604274","603102","611106","625731","636733","639279",
"Czech Republic","CZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4958430","4980704","5025292","5079715","5139009","5159308","5156499","5134717","5155992","5184244","5153680","5132081","5134022","5128047","5125016","5180625","5186263","5186065","5205457","5249468","5241405","5233081","5269982","5323134","5324487","5337247","5388300","5419903","5452943","5441332","5378192",
"Germany","DEU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38890436","40047321","39895297","39672240","39928899","39800857","39820180","40048776","40076956","40290378","40251177","40334537","40451099","40653163","40559921","41254074","41601159","41884471","41889046","41946316","42005791","41658239","41734548","42104556","42318972","42590797","43058646","43288289","43562285","43871267","43382544",
"Djibouti","DJI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","204724","210448","214056","216965","219822","223860","230465","238111","246403","254885","263318","269827","276102","282217","288446","295021","304042","313623","323636","334179","344546","352423","360337","368181","375942","383866","391159","399070","406886","414572","412419",
"Dominica","DMA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2871527","2874889","2877058","2858327","2780674","2825968","2836650","2857206","2845644","2879014","2863243","2854693","2890687","2870525","2898501","2900793","2931398","2930831","2922413","2910409","2890450","2886698","2871547","2850268","2863193","2888656","2933273","2960274","2982472","3023904","3022416",
"Dominican Republic","DOM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2569954","2639165","2709858","2779158","2847558","2917282","2987680","3060636","3134711","3208540","3282359","3286981","3384928","3388368","3452459","3509453","3656408","3705721","3803887","3733574","3907278","4089236","4215759","4307344","4399404","4663526","4763944","4838894","5029428","5199103","4858960",
"Algeria","DZA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6464551","6725421","6972519","7256588","7540959","7797281","8049043","8251472","8460835","8669900","8879547","9106753","9327492","9544296","9764162","9985162","10196157","10401603","10600179","10801299","11074291","11295172","11532688","12003273","11584915","11878705","12178728","12464041","12589364","12716548","12231916",
"East Asia & Pacific (excluding high income)","EAP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850914948","864246360","880528707","896310130","913869518","928293052","946421435","959780668","972074507","984072228","999142950","1007060796","1016021434","1026762971","1038022355","1045921532","1055159655","1067148341","1074818158","1081289663","1087143537","1097564217","1107057821","1113760326","1120892971","1126199469","1129876634","1133638551","1138999130","1141664081","1122990157",
"Early-demographic dividend","EAR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","730568846","748807150","768689238","786333014","810102682","829334370","849793379","871236981","893905152","916489761","938068888","959372735","980040821","1003089357","1028739705","1051153689","1067261897","1086849456","1102126480","1119122295","1136513262","1152239063","1169172574","1186904619","1203767120","1223197147","1241693166","1261556957","1280576021","1303998842","1254222326",
"East Asia & Pacific","EAS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","957631695","973091263","991010212","1007670014","1026604929","1042326944","1061901595","1076748688","1089171757","1101588835","1117391923","1126061113","1135445641","1146391794","1158246678","1166912765","1177102851","1190313758","1198771570","1205496357","1211911670","1222628399","1232668481","1240490393","1249014210","1255451046","1260265657","1265198352","1272203861","1275955636","1256706693",
"Europe & Central Asia (excluding high income)","ECA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175891535","176778119","177863887","175840350","176241289","176425169","175318044","173648880","172965478","177178889","177114867","175762113","175979707","175668542","176549182","177595638","178403646","180111214","181689388","182803867","184470204","186170826","186708899","187914077","188508034","189778636","190651083","191282780","191644775","191107688","186998525",
"Europe & Central Asia","ECS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","387455145","390236913","390686166","388326251","389177083","389445709","389320994","388621764","389378547","395508370","396926440","396165705","398656274","400796940","403462899","407317704","410049683","413750233","417718439","419809769","422191047","423844209","426069832","428252650","429905704","432079021","434527413","436279362","437898510","438201127","431781090",
"Ecuador","ECU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4037946","4177911","4313570","4452111","4602264","4745538","4882092","5025476","5350899","5460040","5568322","5667595","5767431","5867129","6213934","6302127","6573773","6583445","6747270","6705188","6740235","6803757","7012137","7088862","7213264","7645865","8042980","8305502","8364869","8519410","8019239",
"Egypt, Arab Rep.","EGY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15507048","15902404","16292385","16725367","17522549","17549517","17857675","18141998","18414792","19567955","20044646","20381473","20753253","21603079","22456961","23292693","24087580","25205775","25686128","26585411","27411903","27825941","28583735","29411208","29972669","29541108","29893554","29628637","29275347","29776956","29077255",
"Euro area","EMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139668001","141506826","141031682","141162777","141974328","142200994","143188924","144179295","145374576","146895294","148030864","148413685","150461753","152610604","154056671","155919606","157382571","158962127","160470070","160882571","161206490","160775313","161795864","162224947","162524852","162931522","163874582","164533486","165354109","165829851","163618490",
