String / string group: ['wind', 'wind power', 'wind turbine']

titles
year;number of occurrences;corresponding docdb family IDs
2012;373;{46600211, 44509214, 46317609, 45795380, 47009847, 46587960, 46587961, 46127164, 45348953, 45559911, 45559912, 45559913, 45441142, 46063734, 46516354, 46878866, 45936787, 46141595, 46071965, 47089823, 47354022, 46145703, 46993576, 46794926, 46794928, 46672052, 46170305, 44509378, 47292611, 46547146, 47005900, 43466963, 46168281, 46758110, 44925152, 47005925, 46145778, 44534008, 45558009, 45656313, 47259898, 47335673, 45992197, 45773068, 46162191, 45723935, 45607201, 46315821, 46315822, 46315824, 46721340, 47288649, 46870874, 45605217, 46315877, 44786022, 46152048, 46051701, 47155582, 47155583, 46025090, 46244230, 45808023, 46930346, 46993858, 46993859, 47155653, 45421011, 46758362, 47040990, 47137253, 46062055, 46062056, 45756910, 47190519, 46830075, 43977214, 45527555, 46381575, 44628489, 45896210, 46207507, 46830098, 46615061, 45771290, 45445659, 47155739, 43708962, 45890082, 46383661, 44534318, 45093428, 47125049, 46797391, 46000724, 46350939, 46797408, 47161956, 44759656, 45476460, 46719596, 46162542, 48089708, 46152308, 44913279, 45572735, 44774020, 45441684, 46457495, 46580378, 44763806, 45994654, 44677792, 45695649, 46490286, 46471857, 47051445, 46875330, 45464285, 45464296, 47020780, 45830895, 45830899, 44925684, 45955831, 45855481, 46830338, 45994755, 44587780, 46207749, 46506760, 46967568, 46086929, 46025495, 46025496, 47096599, 43971361, 45497123, 45892390, 45654838, 46048055, 46146363, 46930756, 46965577, 46965578, 46197586, 46844773, 46934887, 45495144, 46934888, 46969707, 46605165, 46506867, 45001602, 46510982, 43365261, 44118925, 46705557, 46515094, 45464473, 45933499, 45892543, 44860355, 45448131, 45593543, 46879689, 45593548, 47176657, 47176662, 45923291, 47176673, 44800994, 47176674, 47176675, 46144485, 45855722, 45933570, 45452291, 47258627, 46064646, 44971015, 46603273, 45497354, 45933579, 46580749, 45001747, 45892636, 44993569, 45526057, 45526058, 45526060, 46580783, 47258676, 47017023, 47295552, 46060614, 47176776, 47176777, 45976651, 47359052, 46380110, 46087257, 44860508, 46507109, 46752870, 47357034, 45892716, 44674170, 44653691, 45565054, 47295616, 46642305, 45976712, 45868173, 46146707, 45935768, 47361177, 47123616, 46851240, 47140016, 44063929, 46384322, 46507208, 47217872, 47217874, 47217875, 47217877, 45509848, 47361241, 45993178, 44983515, 43797727, 44584168, 46314729, 46017775, 47357175, 45696260, 45696261, 45696262, 46171396, 45954319, 47176977, 47176978, 46845215, 46845219, 47422756, 47422757, 46048550, 45491496, 59858219, 44645677, 47258935, 47258936, 47172930, 46878021, 46144844, 45772111, 46798161, 45872469, 46200163, 45804900, 46845284, 45804904, 44514675, 46138743, 45581695, 46024067, 47144333, 47293839, 46464403, 46198164, 45497753, 45995417, 45974950, 46798246, 47068582, 47031722, 47072682, 46831024, 46017978, 46208447, 46312896, 47259081, 44508627, 45768150, 45872601, 46151135, 45565408, 44627428, 46757362, 46261752, 45567486, 46085633, 45927940, 46024221, 45999649, 46396965, 44789286, 46124589, 46831152, 45471281, 45569594, 45985342, 51230275, 46515783, 46245454, 46704207, 44625488, 44785243, 44785248, 46980710, 47218283, 44910188, 46720626, 44908149, 46515832, 46515833, 46515836, 46161534, 46161535, 45559437, 45559438, 45399701, 44906134, 45723286, 44906139, 45932192, 45788838, 44910251, 47228588, 45999802, 45094587, 45559483, 46585533, 47199933, 46161607, 44789448, 46935769, 46579421, 46579423, 47107824, 46929653, 44168951, 46397180, 45889295, 46104335, 45756191, 45047584, 46083871, 47292191, 46929703, 43859798, 46931804, 44681060, 44312421, 46172016, 45832049, 46458743, 46602119, 46049170, 46026648, 45463464, 45995970, 46245826, 46049224, 46069704, 46188489, 45469645, 45463510, 46510042, 46639068, 47220716, 47009791}
2013;403;{47177737, 48224269, 47798287, 46319636, 46319637, 48744478, 47722533, 47595565, 48039981, 48668720, 49082417, 54704178, 48638005, 48638008, 46690375, 49623122, 49623123, 49623124, 47190101, 49623130, 49553499, 49623131, 49623132, 49623133, 49623134, 47913056, 48140384, 48697442, 49623135, 49623136, 49623137, 49623138, 49623139, 49623140, 49623141, 49623142, 49623143, 48609389, 48742514, 47683713, 47755399, 48521367, 47519897, 47997090, 49498276, 48742567, 48578729, 47018156, 48236720, 47780017, 49582257, 47177915, 49596607, 47753408, 47915209, 47683792, 46727387, 48414941, 47595748, 49987812, 48044268, 47425773, 47827206, 48167184, 61618459, 48947494, 47665453, 48466231, 48638274, 47221059, 48279876, 48578885, 48167241, 47505738, 47890763, 48087370, 48279891, 48167254, 47049048, 47710593, 47710597, 47044998, 44534152, 48279948, 48740761, 47557031, 48431532, 48652739, 46639559, 48652748, 48652752, 46516691, 48429523, 48429525, 48134618, 48982507, 48947698, 49758721, 46801412, 66998790, 49302036, 47632919, 47831590, 47831591, 47995433, 49672751, 48085552, 49361457, 46516787, 44534324, 48697923, 48697926, 49482321, 47172191, 47667808, 47501931, 47850092, 49029742, 44534388, 49029748, 44534391, 48171640, 49511033, 49511034, 47995532, 49029775, 49160847, 49210001, 48042642, 46758549, 46758550, 47899287, 47667867, 47714972, 47633067, 47633068, 49005230, 47559344, 47391411, 48702144, 48171716, 49003205, 48366278, 49003208, 49003214, 49261263, 47010514, 47178452, 47667935, 47076075, 49580783, 47594224, 49580788, 46832379, 48167679, 47555331, 48782086, 46750471, 46826247, 48288530, 48288531, 47756052, 47506197, 46598934, 47756053, 49210130, 49361686, 49711891, 49711892, 49711894, 48167712, 44651304, 47323945, 46754606, 47530811, 48141123, 47534929, 49136465, 47827795, 48427867, 48982878, 48696166, 47471464, 47002479, 47668091, 49161091, 47008654, 49154959, 46762896, 49222550, 47530921, 48798641, 49161138, 49621937, 49626033, 47745992, 47745993, 47745995, 47745996, 48522201, 49624028, 49673187, 49005541, 49005542, 48612332, 46875629, 49482735, 48145392, 49550326, 46384119, 46650369, 48983046, 49300490, 48905228, 47475728, 47424534, 47115289, 48696349, 47914027, 47914028, 49579051, 47991865, 48022601, 47664202, 48522313, 47828044, 47664206, 48901208, 44532825, 47891547, 48481385, 44532843, 48874604, 48794737, 46799989, 48905349, 47596681, 46763154, 47426709, 46027930, 49161381, 47914151, 46851244, 48141496, 48905402, 46826702, 44651732, 47912149, 46982358, 48469213, 49112288, 48469217, 48905443, 47074535, 46320874, 47389943, 48141560, 48141561, 48141562, 48141563, 48141564, 48905463, 49292537, 44883210, 47666454, 49669400, 49673496, 47756582, 47750443, 45444417, 48051521, 48575813, 48145734, 49669448, 48698699, 49325390, 49673553, 49397089, 47883620, 48575848, 48575849, 49116520, 48280947, 48280948, 49112438, 47521145, 48571785, 49223054, 48784783, 48577936, 49223055, 48139690, 48469418, 48469420, 48469423, 48469424, 49006010, 49116602, 48698819, 46968259, 46796228, 47506885, 46601672, 46331354, 47355354, 49624545, 48082410, 46970352, 48612858, 47601147, 49235451, 48612862, 48612863, 48612864, 48612870, 49579540, 47599135, 47713832, 48627243, 49579567, 47830580, 48168509, 49714749, 47748674, 48608838, 47603290, 48109148, 48574044, 49368673, 47629923, 48084580, 49327718, 47623795, 49688179, 48043644, 49739398, 49258128, 49161875, 48610964, 47709851, 49645212, 49739421, 46208675, 47910565, 46147252, 47593145, 49639103, 48041664, 48041666, 48703170, 46851787, 65724110, 48697045, 48289494, 46851799, 48043739, 48289501, 48289502, 48981725, 46845664, 46845665, 47714020, 49211117, 47742702, 49258225, 48469764, 47709970, 47501080, 46354208, 49645346, 46397222, 47603508, 46980917, 46397245, 48668489, 48668490, 47605593, 48574297, 48574298, 49117022, 48572268, 48572270, 48469880, 49487742, 48469889, 47597454, 49584015, 45715344, 48574362, 48613285, 47833005, 48869298, 48947134, 47503302, 48222160, 48222161, 48222162, 47910874, 49850344, 49629165, 46651375, 47779832, 47073278}
2014;269;{50238980, 48748551, 51791352, 47425035, 50387474, 48793108, 51984404, 49999382, 50731543, 51985433, 49948186, 51897885, 51536928, 50880545, 50684963, 47010341, 51536933, 49913383, 49913384, 51791397, 51985450, 51233837, 51568690, 50147379, 49182260, 49553973, 49912374, 50147380, 49596472, 49754168, 51207220, 51622971, 52141116, 50101309, 52141117, 52141118, 52141119, 52141120, 52141121, 52004933, 51843145, 51494986, 49912395, 51353163, 51524683, 51140174, 51843146, 51843147, 52004937, 52141131, 48520787, 50116180, 50285656, 50285658, 49913435, 49883230, 49944162, 51419235, 51248229, 52287592, 49958505, 49958507, 51934317, 51206255, 51206256, 49989746, 51419251, 48485493, 49881718, 52140663, 50894970, 51587707, 50434685, 49447550, 47833215, 50623103, 46852225, 51618430, 49997955, 51728513, 50182790, 51419274, 48875659, 50434188, 50626699, 50731662, 51623050, 51135120, 51536023, 49117850, 51133594, 51981468, 50029727, 50490018, 51731107, 52229283, 49782437, 52240547, 50239655, 49485481, 51742379, 50862764, 51552431, 51727026, 49881779, 50973881, 51032764, 51569853, 49994430, 51504318, 49883840, 48626369, 48803521, 50340546, 52007614, 61526214, 47469767, 50979018, 49328331, 50628819, 50396885, 51623639, 51208408, 49989850, 50286298, 51060443, 50232548, 50188008, 51526377, 51623144, 49918188, 48485103, 50452720, 50732784, 51020015, 50362611, 51020018, 51020020, 51064562, 48672503, 51278067, 49161977, 51580658, 51016445, 51864317, 50910978, 49918723, 50069764, 51064581, 51689740, 49083660, 50884876, 50337038, 50546446, 49777424, 49777425, 50085137, 51241742, 50546452, 50098453, 51485973, 52099862, 50555162, 49641756, 50098460, 52019485, 49301280, 50033440, 50033441, 51432737, 50486054, 49683755, 49150764, 51609389, 49778479, 50728243, 51468083, 51126070, 50065721, 47598907, 50759996, 46889280, 50114881, 50114370, 52007747, 52141893, 49620295, 51418954, 51901263, 51997009, 50270039, 51261785, 49182047, 50487652, 50902372, 51061606, 49949033, 50143594, 49781611, 50066799, 51428210, 49781620, 50881396, 50390902, 51385720, 50270079, 52007810, 51356036, 50276229, 50434439, 50153353, 50064780, 52001168, 50099601, 51934097, 50855828, 50338197, 50099606, 49911191, 51731348, 51579661, 47046558, 47843231, 50184607, 50624415, 52004258, 49998244, 49513893, 50827685, 50878886, 51985833, 52022187, 49998252, 50098604, 50382253, 50193329, 49515443, 49328564, 50028986, 48013759, 49683391, 50389439, 49782724, 48468422, 49880010, 49783243, 51537362, 49667028, 50047447, 51022301, 49231327, 49912288, 50098657, 50928608, 48856549, 51428329, 46508012, 51504620, 51985391, 51504626, 48013811, 51984374, 50214391, 48795640, 52008441, 48782330, 51020796, 48430590, 49994239}
2015;297;{52667397, 50543110, 50543111, 51726343, 52587526, 52775436, 50159117, 52825612, 53479436, 54009357, 52624915, 54367254, 53273626, 52890139, 53273627, 53185565, 52449310, 53397022, 54013979, 51905058, 51062828, 51570220, 53185580, 51063345, 54016561, 52781107, 53782583, 52624952, 54334009, 53485115, 51257406, 53171775, 54698046, 54323779, 52624965, 49322568, 52624969, 49546314, 54168138, 51626573, 53192781, 53402189, 52781648, 52781649, 52829265, 52432979, 54122067, 54191695, 54554710, 54146647, 54833234, 52481116, 54537821, 49304158, 52743774, 52994654, 52825185, 54908512, 51059300, 51628132, 50473065, 52779114, 54070890, 52629617, 51628147, 52280435, 51862133, 54322808, 53367418, 53367419, 52462206, 54321282, 53878916, 51417221, 54321284, 52388999, 54345860, 50942601, 50942603, 53488780, 52991117, 52991118, 52632208, 51176081, 53250704, 53762704, 50981012, 55440529, 53298839, 49274522, 52577948, 52672161, 52427938, 53756067, 50828965, 54431909, 52020909, 53759154, 52812979, 53443251, 53498036, 51178678, 53759155, 53757112, 53759160, 54069941, 54323895, 53678268, 54335676, 54335677, 53877954, 49518787, 53269701, 53493957, 53877447, 54929608, 52827849, 52143306, 52996297, 52143308, 54431946, 54548991, 50137810, 53032659, 50396889, 53883097, 54944985, 59313369, 52811997, 51982558, 54193374, 54538464, 51982562, 53813986, 52622052, 60201699, 54194923, 54194927, 51392240, 53493488, 54194928, 54706931, 53028600, 53547257, 52143354, 51903739, 53757691, 54835451, 52760318, 53404414, 53171968, 52788489, 52143370, 52585738, 52479756, 53433102, 61568270, 52143376, 52479760, 54336786, 52776213, 53754134, 51059479, 52448024, 53754135, 52279579, 52448028, 53756700, 52343070, 52393759, 53484830, 54193440, 54332188, 54361890, 51485476, 52354855, 52354856, 54361898, 52823852, 52107565, 54361906, 51392307, 54324532, 54479668, 52992311, 54954810, 54707008, 52117827, 52427076, 54013764, 53110086, 54610247, 51176265, 54209023, 52990796, 51494221, 53774672, 51790675, 53003605, 54287704, 52426585, 53275488, 52346209, 52431717, 52162406, 52342120, 51260780, 54054766, 54706545, 54141302, 51293047, 54141303, 53041530, 49510267, 54801279, 51483520, 51660674, 52686212, 52736901, 53041028, 53489031, 54339977, 50981771, 52460939, 53774221, 52581774, 54007182, 54368652, 54326161, 53539730, 54555531, 54834576, 52827545, 52827549, 51868063, 51301280, 51868065, 51868066, 52648863, 52461988, 53172642, 49447334, 53052326, 53172643, 51211689, 52391338, 52432297, 52626347, 53003692, 52626350, 53488551, 53681583, 52470705, 52470706, 54368181, 54500792, 53045689, 54326202, 52276669, 52693439, 54357952, 52693441, 54768068, 52623815, 52623816, 52824520, 52693450, 52744650, 54190537, 54323661, 54054350, 54833104, 49683921, 52585938, 52444628, 54323668, 49920471, 54010329, 54143961, 54146530, 52669411, 53041123, 53041124, 53482981, 50729449, 52741099, 53371373, 52603886, 52375023, 52775408, 54938094, 54833138, 53677043, 55131127, 54872568, 53003770, 52986879}
2016;226;{54072832, 55440387, 55405061, 55439366, 55803400, 57282056, 56102926, 55631375, 57361938, 57217557, 52595230, 57440287, 52339237, 55854635, 55532588, 53785645, 55696942, 56544301, 56564272, 55538226, 55638068, 54252085, 55754292, 55065659, 56364605, 54477888, 55065668, 53682757, 57502789, 54072907, 54540876, 55274059, 55274060, 55909455, 55162453, 56165462, 56986209, 55166050, 53546595, 53682787, 55073892, 56551523, 54477927, 56834153, 54238318, 56495727, 54238321, 56090740, 57221748, 57282165, 57006715, 55216764, 55644291, 55217796, 54867077, 57217669, 56097929, 54337683, 55911573, 57043606, 57587352, 55358617, 56009375, 55527594, 53783728, 57208499, 56977589, 54325433, 57111227, 55851713, 56092353, 55749830, 57539782, 53682889, 57542349, 57129167, 55656146, 56977692, 55302871, 56073946, 56073435, 52824287, 55908577, 54256868, 52007143, 56879336, 57393385, 55262954, 55409900, 54151405, 55698671, 51228403, 53510899, 55587061, 56121075, 54150391, 56116475, 56405245, 55485694, 56788226, 55701767, 53177608, 57112841, 55350538, 55439116, 56577293, 54478606, 55022351, 56878585, 51932433, 55444754, 55521555, 57112850, 57393936, 56364313, 57198361, 55924508, 56283932, 56110366, 53783327, 56110367, 56149279, 55464226, 56149281, 56688927, 56738588, 55445799, 55802152, 56367401, 56498473, 55064877, 55531310, 56218925, 56097584, 56311086, 57043759, 56530230, 55216954, 55018300, 56132929, 55632197, 55531344, 55524182, 55809366, 55315288, 56498521, 56093532, 57602909, 56091487, 57290082, 53404520, 55722856, 56716655, 55485809, 55149939, 55299443, 56925557, 55886202, 56923516, 55358334, 57169790, 55405953, 55077762, 56069507, 55914374, 53673863, 53673864, 56150920, 56621450, 55079308, 52444557, 56418701, 56853389, 55806352, 56701949, 56894348, 57166230, 56689047, 55133087, 55524258, 55524259, 55524260, 55301541, 55524261, 57013666, 55083432, 55524264, 57244152, 57392549, 55134640, 56566193, 56114099, 55018420, 56513463, 57584055, 55968185, 56492988, 54866877, 56865218, 56163267, 55917509, 54478278, 55042502, 56163270, 55858121, 56163271, 54256587, 56233929, 57467334, 55312335, 57218004, 53724119, 56451032, 56800737, 53762023, 56080364, 56937454, 56867313, 56116214, 57281526, 52021240, 53510649, 55167482, 57503734, 55216637, 57093118}
2017;346;{59121668, 59723783, 60037130, 60037131, 60481553, 58073113, 58773529, 58634287, 59412528, 58742836, 59643979, 57686094, 55650419, 59684980, 57542776, 58261628, 58050689, 57684101, 59089040, 59101331, 57178271, 56119466, 58464436, 58464437, 57608374, 59361463, 59871412, 57708736, 60479690, 58773715, 59496663, 57749730, 57389304, 58456313, 57757946, 56148234, 60477725, 55486782, 60244297, 60477776, 57983315, 59851098, 59984222, 56555875, 57942375, 58034537, 58397041, 58945908, 59963766, 57833851, 58691968, 58499472, 58718615, 59715991, 59898269, 59742625, 59787681, 58517939, 58462653, 60496328, 58778057, 60580296, 59118045, 59769324, 58329582, 60326382, 57223668, 57684472, 60326409, 56117770, 58462735, 59980311, 58159643, 57897507, 57993763, 60482084, 58444327, 60088883, 60150327, 56101447, 57907786, 59787854, 59523669, 60783203, 58843753, 60047978, 56134252, 58763896, 60039801, 58360444, 58661516, 58339990, 56920745, 56920746, 59966123, 57121452, 59650739, 59998900, 58456757, 60424886, 60070602, 58661591, 59398876, 57942761, 59056878, 59443955, 58159874, 57942794, 59048716, 57860884, 55022357, 59966229, 56087319, 59220760, 57885465, 58843933, 60150576, 59943730, 59851572, 59896630, 69143360, 58463047, 59626311, 59900744, 57834320, 59575120, 59482963, 60156766, 58667872, 59159394, 57840498, 58661759, 58993537, 58186630, 57942919, 58604423, 69063560, 56855440, 57795473, 60042128, 58549145, 60412829, 55759780, 57758629, 59274158, 57856948, 57899958, 57795525, 57730002, 57834452, 59018201, 57730010, 60089316, 59329514, 60089343, 59454465, 58186755, 59522052, 57730054, 60459001, 61023266, 59743267, 58410020, 59048997, 60326966, 59966523, 59788349, 55589950, 59976771, 59788357, 55237705, 59788361, 59358307, 58801259, 59227248, 58408054, 60255350, 59145348, 60689546, 55135375, 59358354, 59722900, 58522783, 59536547, 59729066, 56693937, 58010812, 59774147, 60662986, 59186383, 59129050, 58694876, 57906422, 56694015, 58240285, 60478750, 58547490, 59057452, 59790642, 59190581, 54261054, 60159296, 58993989, 60810574, 59176285, 59743581, 59811170, 60685671, 57683304, 57630061, 57914744, 57630074, 58905992, 59934098, 59624859, 58707357, 59397534, 57718177, 57206192, 60249522, 58240438, 58314179, 57615822, 59930064, 57189845, 57208284, 59852255, 59635170, 59960804, 60480996, 57882086, 58314215, 58314216, 57589225, 58508777, 57589228, 58760689, 59926001, 60159485, 60417542, 58422803, 59598355, 58422811, 58945052, 59385380, 57681447, 57681448, 59444777, 60583465, 58035766, 57835068, 57794132, 59055701, 60411482, 58218076, 59055709, 59563613, 59256419, 59055716, 58631782, 60481146, 56682108, 59055745, 59055747, 59358852, 60325511, 59055755, 59055759, 59055761, 59055767, 58910366, 59055776, 58691234, 60788403, 57755322, 60788419, 59055816, 60784329, 55236299, 59563725, 58668754, 59397844, 59678422, 60161750, 60202710, 60296923, 58668768, 60212960, 58040035, 60579562, 58562285, 59514611, 57718517, 55072508, 58795774, 56925953, 58543878, 57708297, 57863945, 58693387, 56084240, 59778832, 59375384, 57714457, 57714458, 58545948, 57757479, 57153328, 59625269, 60202807, 59533115, 58629963, 60047188, 59678557, 59453279, 59684703, 59410274, 60677987, 56936292, 58720103, 59684713, 59684714, 59684718, 55863159, 58695553, 60784516, 59778950, 60661641, 59416458, 55066507, 57137045, 58257309, 60419998, 56551327, 58423206, 58224551, 59778993, 57868221, 60411866, 58486750, 60411887, 58763252, 57982966, 57421817, 59580413, 59963391}
2018;326;{62146560, 64270340, 61249551, 64270361, 62838825, 61147189, 63852603, 61091903, 59564107, 63330382, 61622353, 62023770, 63330402, 64659558, 61831271, 62017649, 57045112, 62343288, 62167168, 59631760, 62025875, 59859101, 59070629, 63166630, 57045159, 64438444, 61903031, 63713463, 62222527, 62707903, 61753548, 62843085, 64397517, 64461013, 58994902, 63013080, 63713505, 61274345, 62109942, 61757692, 61763842, 62716166, 64567573, 63256856, 61161753, 62712091, 62904619, 64395577, 62748988, 62708042, 64794961, 63252848, 62048634, 64098682, 62976385, 60201354, 60201355, 61071764, 65034646, 61688216, 64459175, 62042537, 60783037, 62063039, 62241224, 62144977, 62257619, 61911509, 60037590, 57211353, 62026217, 64459246, 61258236, 63252991, 62241282, 64453130, 61094419, 61196819, 60627498, 61633067, 63892034, 63095366, 61827669, 62116438, 59714137, 63040093, 60301949, 61559431, 60662410, 57909909, 61166233, 63253145, 61751973, 57569958, 62716597, 63675062, 62081728, 62147269, 64395978, 62147280, 59153126, 64455402, 64273136, 61072113, 63333111, 64568066, 62708487, 62389002, 60996363, 62716683, 62563091, 57963286, 62528279, 61938470, 63652658, 61971251, 62901044, 59312950, 59312951, 63675191, 58231609, 63034170, 68465473, 64332615, 63675209, 63920974, 61619027, 63449946, 62067565, 63038338, 61731723, 63712143, 62495646, 60382115, 57570225, 63318974, 61420485, 62813125, 63091653, 62020561, 59034594, 61191141, 64566251, 64363500, 62002159, 61240304, 63042551, 62907391, 64273431, 62557221, 63106098, 61002820, 62598213, 61099083, 64564346, 64457856, 64271489, 62598275, 59569291, 59258005, 59258006, 61140127, 59997347, 61256869, 62567596, 60021933, 62706864, 61281467, 60888261, 61971659, 62661841, 58410196, 60327126, 61007063, 61256918, 63093976, 63372503, 61002971, 64105686, 64871642, 65008862, 59579618, 62706917, 62788848, 62299379, 64396536, 59966738, 60892435, 63675674, 64269598, 64400678, 62094632, 62768447, 64400704, 61160772, 59258190, 57754967, 63712599, 62997851, 59811167, 59811169, 59811171, 62020965, 62020969, 63712618, 59811178, 58162541, 59811181, 59811184, 60153200, 57208179, 59811188, 59811203, 58672519, 58547592, 58672520, 62909836, 59811213, 62236053, 63587737, 64460206, 63858095, 59811254, 60923319, 60153275, 62604734, 61912512, 64050625, 60673476, 64693700, 62025159, 63712713, 59745747, 63079893, 60186085, 61740519, 62447082, 61801965, 63585776, 62068209, 62025207, 61015550, 62092801, 60935684, 59856412, 61163039, 62244385, 64396835, 65035818, 62684732, 58228285, 61521484, 63868498, 64024156, 64454258, 59772531, 61265532, 59811454, 61281919, 63524490, 62840460, 65035916, 60915350, 59381402, 62707354, 64130724, 62490285, 61005488, 63469232, 61617847, 61617852, 64272061, 62455490, 62789333, 61916887, 61001433, 61687514, 63586017, 62893799, 64104168, 60452592, 63674098, 63401718, 59655929, 61902586, 61015807, 57714443, 61902605, 61765394, 62977824, 61562663, 63584047, 62177086, 63674175, 63106882, 57460561, 60958548, 63446880, 62068578, 60268392, 61005672, 61558632, 61247340, 62142316, 63674228, 64395125, 61036417, 63582085, 61101979, 64458669, 63895475, 63668150, 63674297, 63330234, 60268487, 61056967, 61765575, 62625742, 60162013, 63582173, 64270310, 64737258, 59846638, 64270331, 58632190, 62783487}
2019;535;{62904321, 65433601, 65525773, 66138130, 67897367, 65439770, 68847642, 66244636, 67614753, 68026404, 61005864, 65275944, 66996265, 68284459, 68698156, 68853812, 67618876, 65241154, 65724487, 68712519, 67907661, 67907663, 64051288, 68982874, 67987549, 68122718, 62904415, 66629737, 65146998, 60569720, 67143810, 67614850, 64745606, 65900684, 68059276, 65900689, 65235096, 67846301, 68294815, 65900708, 66547877, 59388072, 67991720, 67985584, 66590897, 66590898, 65994934, 66629814, 66949307, 68622523, 66949315, 65528011, 65439953, 65630420, 67987671, 65808601, 65808603, 61581535, 68387049, 67985646, 63762673, 66994418, 67985654, 67985655, 68765948, 68491517, 66590976, 65276166, 65630472, 67985674, 65630475, 65276173, 65276174, 67985678, 67985682, 66668819, 67985686, 67082532, 66992428, 67623217, 67985721, 68901183, 65900864, 67012931, 66675024, 66429269, 65364313, 67391834, 67844442, 68325727, 65352037, 66189669, 65235308, 67479921, 65321331, 68059508, 67684731, 68163964, 66429310, 67805567, 63312258, 61911430, 67766662, 68206982, 63312265, 66664849, 66734484, 67985817, 67395998, 65003935, 67991968, 68616616, 64661930, 66281900, 66476464, 66349496, 66476487, 67619293, 66658783, 62783973, 68770277, 63042024, 61768175, 66963952, 65817073, 65745394, 67144175, 68467183, 68067835, 60191229, 65745412, 65745413, 68770308, 65901065, 67068430, 65817103, 67818017, 64332336, 66144817, 65901109, 65901113, 66243133, 66601534, 65817151, 61024834, 66978377, 68239947, 65364556, 67725905, 68383313, 66476627, 66978401, 65438309, 67136105, 68696689, 68698739, 68207222, 65817207, 65729145, 63722120, 65634960, 67908243, 66534036, 65759897, 66439834, 68698781, 65639071, 67136171, 66955950, 67619503, 66597552, 65200826, 67685052, 62046909, 63998657, 61952706, 61952708, 67066571, 64983760, 68483793, 65274580, 67298006, 67713751, 67298010, 63638238, 63638239, 65364702, 66245343, 68975327, 66290409, 67988201, 66949876, 67617527, 63787773, 67617536, 60627713, 66431745, 67068673, 63787784, 66818826, 66949898, 65030930, 65030934, 67066648, 66951968, 66816805, 63245095, 66994983, 64903985, 62952244, 64734013, 64666431, 66751308, 65723217, 66814802, 68383572, 66095961, 60515163, 67300208, 67478391, 67068794, 67140479, 62528389, 65995654, 66818951, 66935687, 62555033, 62063516, 66071453, 67390365, 65526688, 66397088, 65031074, 66735010, 68383650, 60574640, 62495669, 68293563, 65438656, 68182987, 67392462, 68269017, 63294433, 67843041, 64740323, 65084387, 61750246, 65811430, 67492843, 67308526, 68633586, 67214323, 65440757, 65993719, 67068920, 67259398, 67109904, 65524758, 65674263, 66935831, 67308569, 68693014, 67550244, 68293668, 67218480, 67445810, 64082996, 66634805, 65633340, 66634815, 66995270, 67685453, 60673102, 61224014, 66538583, 65182811, 66174049, 63857765, 63857766, 67908709, 68293738, 66817131, 59485297, 67685492, 67685495, 65991801, 65000570, 65723514, 65991802, 66100345, 63143055, 68983952, 63143060, 67275926, 64734360, 67685530, 67685531, 62981286, 63878311, 67548337, 68060338, 68383932, 68576444, 63720638, 65440979, 61189332, 65268954, 65598690, 63720675, 65436900, 65234150, 68840688, 65324274, 68613364, 65959163, 68293884, 65721597, 63857920, 66886922, 64308498, 65015059, 65848594, 64308501, 67106066, 67949853, 67984672, 62874913, 63685921, 68533542, 65686824, 65686825, 68062506, 65525035, 65367350, 65635640, 65363261, 65033535, 66647362, 65996101, 63794503, 65992007, 59315530, 65723735, 68728153, 68062554, 64798046, 68697448, 61226346, 68779372, 68294004, 65996152, 68838782, 65324416, 65631619, 64664965, 67845509, 66540936, 68294024, 68539789, 68969871, 65576341, 63014294, 66041237, 66323863, 65318298, 59506080, 65156515, 68728228, 67685797, 66432422, 67063210, 64564651, 67063211, 64267695, 66182577, 66182579, 64024005, 67904976, 64110033, 65367512, 66239964, 67067362, 68728292, 67626469, 63174119, 68806126, 68386287, 66332145, 63079930, 65723900, 64308732, 64808447, 65910282, 67687949, 68918805, 61971994, 67907104, 65719841, 67063331, 66934326, 67907127, 61802044, 66663997, 65717822, 67385165, 68615747, 66170439, 68769357, 65766994, 68419155, 65525338, 68238944, 65554030, 63014517, 63014518, 68615801, 67393146, 68724349, 66768517, 67808901, 67991174, 63014540, 67767953, 66334357, 66629269, 64556698, 64556699, 66885275, 67763867, 67991195, 59858591, 65525416, 66377385, 67692203, 64951981, 67573425, 67145396, 65801910, 68843197, 64788159, 66217665, 66539203, 66371269, 66819784, 66948812, 65525457, 66944727, 67188439, 64741086, 68579038, 63014627, 63014628, 66096868, 62985962, 67487476, 64741112, 67391309, 67847932, 66246408, 68241162, 67393291, 66993936, 65996567, 65029914, 66332444, 61800222, 65638175, 67057439, 64952103, 65632041, 67983148, 65363757, 62134066, 66324275, 65834804, 66819893, 67391284, 66484026, 65529662, 63684415, 66676548, 67391303, 66658125, 59520846, 66533198, 65279824, 66664269, 67067725, 67067728, 62975828, 65279828, 66819926, 67807062, 66819928, 68534112, 66408292, 66819941, 63965030, 66819943, 60766057, 67473263, 62386033, 62986099, 68769658, 63965052, 61132683, 65681302, 65365920, 67897262, 67911598, 63557552, 67684275, 63209402, 62873535, 68419522, 65998788, 66820043, 67137486, 66138063, 67137487, 65724369, 67987411, 60702680, 63080409, 66138074, 66170841, 65632221, 66996194, 67319781, 66996206, 61972469, 61972470, 61972471, 61972473, 67846140}



